Name,ID_SRC,RA_CORR,DEC_CORR,RADEC_ERR_CORR,EXT,EXT_ERR,EXT_LIKE,ML_CTS,ML_CTS_ERR,ML_RATE,ML_RATE_ERR,ML_FLUX,ML_FLUX_ERR,DET_LIKE,ML_BKG,ML_EXP,inArea90,F_CONT_BEST_COMB,Z_BEST_COMB,SIGMA_Z_BEST_COMB,LAMBDA_BEST_COMB,ELAMBDA_BEST_COMB,SURV_BEST_COMB,RA_OPTCEN_BEST_COMB,DEC_OPTCEN_BEST_COMB,SPEC_Z_BEST_COMB,N_SPEC,MASSPROX_BEST_COMB,F_CONT_2BEST_COMB,Z_2BEST_COMB,LAMBDA_2BEST_COMB,ELAMBDA_2BEST_COMB,SIGMA_Z_2BEST_COMB,SURV_2BEST_COMB,MASSPROX_2BEST_COMB,FLAG_OPTICAL_X_POS,MASKFRAC_3_FOOT,MASKFRAC_3_FLAGGED,MASKFRAC_R500_FOOT_BEST_COMB,MASKFRAC_R500_FLAGGED_BEST_COMB,MASKFRAC_R500_FOOT_2BEST_COMB,MASKFRAC_R500_FLAGGED_2BEST_COMB,RA_GDMAP_2BEST_COMB,DEC_GDMAP_2BEST_COMB,Alpha,Delta,Beta,Ellip,Centershift,DIST_NEXT_OPT_R500,DISTNEXT_XCLUST_MPC,DISTNEXT_XCLUST_R500,MCMF_NWAY_SECTOR
eFEDS J090033.8+033933,2407,135.14076415280013,3.6591259044205215,7.568411370232726,15.401339,2.884713,25.203981,131.07108,14.900282,0.11113944,0.012634435,1.0484854E-13,1.1919278E-14,119.60466,6.4952884,1179.339,true,0.039262,0.80932,0.009161929324535936,28.86355633537686,6.060174139460206,2,135.14381408691406,3.664760112762451,-1.0,0.0,4.455910813940743,0.180768,0.50738,12.618561,4.279419,0.018354545436045405,1,2.933940385221709,3,0.0,0.0037725467700511217,0.0,0.0,0.0,0.0,135.168811,3.659108,0.19868211659382973,0.27686860225678045,0.3199911185632652,0.384706,0.28160802855234207,99.900002,15.348734081983796,15.560114347337054,A
eFEDS J090141.0-012133,2412,135.420731091844,-1.3590883800710098,4.0,41.060505,5.520863,20.437693,209.61305,29.959997,0.10045158,0.014357546,9.4765646E-14,1.3544856E-14,43.811398,14.630307,2086.7073,true,5.93E-4,0.3025,0.008274939993501797,26.763611,5.829104,1,135.4190673828125,-1.3543727397918701,0.2948499917984009,7.0,1.5733434656563337,0.122576,0.58325,16.208440670622945,4.254864187284589,0.0161883045051772,2,3.0027824647161063,3,0.0,0.0,0.0,0.0,0.0,0.0,135.409402,-1.35365,0.19617748711418084,0.25159094260937503,0.38591311093148367,0.50051,0.2655427543874089,6.011513,0.8861928631381327,1.053620664437789,A
eFEDS J090629.0-012939,2424,136.62065350354567,-1.4941007492335086,4.0,29.747335,3.600481,46.102074,247.46745,24.222282,0.11967765,0.011714129,1.12903454E-13,1.1051065E-14,119.010056,11.699858,2067.7834,true,0.008447,0.4297,0.010225411306950788,30.456231,5.792381,1,136.6255645751953,-1.4941928386688232,0.4308899939060211,3.0,2.4608752726191705,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.09724467351714812,0.25486694860761083,0.30305140361262184,0.20388499999999998,0.2686694106482531,1.607023,15.335116346545657,16.43218626989326,A
eFEDS J084823.3+041205,2437,132.09707598113923,4.201497807206442,6.008056814973712,13.4752035,2.69599,23.780714,120.52136,13.907754,0.10172306,0.011738494,9.5965153E-14,1.1074051E-14,118.24116,6.2002554,1184.7988,true,0.0,0.872282,0.006434588979216642,90.84586349340641,9.276360054260373,2,132.0988006591797,4.201716899871826,-1.0,0.0,4.436634852182802,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.23885561825372326,0.3332499073286113,1.0366038818492262,0.12769299999999995,0.29149996477296797,0.895561,92.64829575618172,96.33122114974665,A
eFEDS J083759.5-003644,2456,129.49812352707232,-0.6121033302589938,3.3675203002082115,8.177878,1.9649078,11.704523,106.87389,12.606596,0.08904611,0.010503673,8.4005766E-14,9.909126E-15,118.71784,6.925476,1200.2084,true,0.015989,0.450605,0.011089273920156136,27.12725,5.332787,1,129.49972534179688,-0.601170003414154,-1.0,1.0,2.2927983475163938,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.02735096402466297,0.0,0.024489107122274992,1.0,1.0,-99.9000015258789,-99.9,0.13421110492039562,0.18574536707213107,0.2633012733011586,0.260518,0.2888470791368024,99.900002,0.6903516979730274,0.7631831963602059,A
eFEDS J090849.7+042242,2460,137.20722068230387,4.378317229427273,2.7971035729946263,29.741344,3.8328767,45.567486,215.83075,21.766842,0.17908098,0.018060574,1.6894433E-13,1.7038278E-14,128.33601,7.6180606,1205.2131,true,0.01209,0.79625,0.008144830652055648,37.92912199522138,6.720574321965575,2,137.20419311523438,4.376368999481201,-1.0,0.0,5.43126280256211,0.230921,0.15994,4.193629,2.536771,0.015102214786321655,1,1.1097434847213958,3,0.0,0.0,0.0,0.0,0.0,0.0,137.224157,4.329417,0.130590696434343,0.2371373872360188,0.18673936861324655,0.458634,0.3268563484460332,99.900002,34.639422650123876,32.71159164691379,A
eFEDS J084255.6+042333,2475,130.73174325782023,4.392425723086338,3.741488613032092,20.574057,3.386412,32.253437,179.80281,19.745026,0.13777906,0.015130192,1.2998024E-13,1.4273766E-14,129.43575,7.2568107,1305.0083,true,0.014803,0.47621,0.010315098794975684,29.721464,6.477324,1,130.73114013671875,4.391791820526123,0.4837599992752075,2.0,3.025864661130282,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.1397414207458496,0.0,0.14431985234593725,1.0,1.0,-99.9000015258789,-99.9,0.11139140334303956,0.20244946632659966,0.24131970861562885,0.309504,0.2624628085476094,7.086902,23.88786089517009,24.302656578113897,A
eFEDS J085230.6+002457,2524,133.12750937092758,0.41587837450618104,4.0,43.952587,4.597212,64.457565,292.10944,31.250391,0.30895558,0.033052623,2.9146753E-13,3.1181722E-14,140.37146,5.568248,945.4739,true,0.0,0.277125,0.0060352412534326865,49.962113,7.575336,1,133.12681579589844,0.42075130343437195,0.27016499638557434,6.0,2.671405484880448,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.1658673935998731,0.24233893216587238,0.24412724138494024,0.388061,0.2614314866151683,7.052647,9.88168028772666,9.762649806150085,A
eFEDS J083330.4+050428,2528,128.37673580056583,5.07441002498824,2.7233590493372137,32.069542,4.159964,50.127083,195.32898,20.935585,0.22377346,0.023984298,2.1110704E-13,2.2626696E-14,122.18942,5.53873,872.88715,true,0.0,0.21326,0.005660872326525932,36.173533,6.166529,1,128.38043212890625,5.075598239898682,-1.0,0.0,1.6785672220394663,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,4,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.10590479385351885,0.21168046066397733,0.17042564279367745,0.246039,0.2694043106138282,10.91456,10.45244979769028,11.801707786789713,A
eFEDS J084003.3+003008,2568,130.01374342482305,0.5022875022793208,6.045010774641855,12.762391,2.7176096,19.141954,112.395805,13.629942,0.094201624,0.011423581,8.886946E-14,1.0776964E-14,103.9756,6.334524,1193.1409,true,0.075956,0.384555,0.01734170257940907,12.795733,4.439507,1,130.03005981445312,0.48642900586128235,-1.0,0.0,1.9824961024322194,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.25044274503299757,0.3830183564964035,0.42645284621571866,0.26393999999999995,0.44896101041580744,1.485799,6.827387585910826,7.735433594044691,A
